year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,16711,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,25%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,3791,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,29%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,2426,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,28%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,,,1851,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,19%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"GORE, AL",DEMOCRAT,3942215,win,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,39%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,2258577,loss,2 GB data free for college student,Monthly RS 1500 for household women's,Free laptop,6 LPG cylinders are free for a year,Free washing machine for each house,29%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"NADER, RALPH",GREEN,244030,loss,Free bicycle,Free hospitalization,Distribution of solar-powered cooking stoves,Govt job to ladies ,Loan waiver to hotels ,38%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"BUSH, GEORGE W.",CONSERVATIVE,144797,loss,Monthly RS 1500 for household women's,Free washing machine for each house,Education Empowerment,Eradication of racisim,Free Education,34%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,BLANK VOTE/SCATTERING,,138216,loss,Free laptop,Building concrete houses for people living in huts,2 GB data free for college student,Distribution of solar-powered cooking stoves,Free hospitalization,19%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"GORE, AL",WORKING FAMILIES,88395,loss,Hi-Tech highways,Clean US,Gas pipeline plan,Indroducing Metro Trains in 2nd level cities,Job to Youth 40%,78%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"GORE, AL",LIBERAL PARTY,77087,loss,Monthly RS 1500 for household women's,Increase in the quota for women in government jobs to 40%,Women would get a 50% fare cut in town buses,Free bicycle,Govt job to ladies ,34%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",RIGHT-TO-LIFE,25175,loss,Free washing machine for each house,2 GB data free for college student,Monthly RS 1500 for household women's,Free hospitalization,Education Empowerment,25%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"HAGELIN, JOHN",INDEPENDENCE,24361,loss,Repayment omission for gold loans,Decrease of tax,Loan waiver to hotels,government job to families without anyone in state service,Free laptop,18%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,7649,loss,Monthly RS 1500 for household women's,2 GB data free for college student,Free hospitalization,Education Empowerment,Free bicycle,16%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,6424,loss,Building concrete houses for people living in huts,Repayment omission for gold loans,Eradication of racisim,Govt job to ladies ,Distribution of solar-powered cooking stoves,16%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,1789,loss,Free education,Eradication of racisim,The financial assistance to the differently-abled would be increased,Increase in maternity leave period and assistance,Government job to families whitout anyone in state service,19%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1498,loss,Increasing the investment from foreign MNC'S,Transportational services in rural areas,Improvising USn economy to 5 trillion dollars,Same ration card for all the states,Decrease of petrol price,86%
2000,NEW YORK,NY,36,21,13,US PRESIDENT,,SOCIALIST,2,loss,Free hospitalization,Free laptop,Distribution of solar-powered cooking stoves,Loan waiver to hotels ,Eradication of racisim,26%
2004,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1176394,win,2 GB data free for college student,Free laptop,Cancel of education loan,Govt job to ladies ,Free washing machine for each house,23%
2004,ALABAMA,AL,1,63,41,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,693933,loss,Monthly RS 1500 for household women's,Decrease of tax,decrease of milk price,Cancel of education loan,Govt job to ladies ,35%
2004,ALABAMA,AL,1,63,41,US PRESIDENT,OTHER,INDEPENDENT,12190,loss,decrease of milk price,Monthly RS 1500 for household women's,Job to Youth 40%,Free bicycle,6 LPG cylinders are free for a year,34%
2004,ALABAMA,AL,1,63,41,US PRESIDENT,OTHER,,898,loss,women would get a 50 percent fare cut in town buses,Increase in the quota for womwn in government jobs to 40%,Decrease of petrol price,distribution of solar-powered cooking stoves,Free bicycle,28%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,190889,win,Eradication of racisim,tourism development,Education Empowerment,Free laptop,Cancel of education loan,19%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,111025,loss,Hi-Tech highways,6 LPG cylinders are free for a year,Free hospitalization,Decrease of petrol price,Job to Youth 40%,79%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",POPULIST,5069,loss,decrease of milk price,Education Empowerment,Free laptop,Free washing machine for each house,2 GB data free for college student,10%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"PEROUTKA, MICHAEL",ALASKAN INDEPENDENCE PARTY,2092,loss,Free hospitalization,Job to Youth 40%,Monthly RS 1500 for household women's,Govt job to ladies ,decrease of milk price,19%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,1675,loss,2 GB data free for college student,Tourism development,Free hospitalization,govt job to ladies,Hi-Tech highways,38%
2004,ALASKA,AK,2,94,81,US PRESIDENT,"COBB, DAVID",GREEN,1058,loss,Govt job to ladies ,Building concrete houses for people living in huts,Reservation in private sector will also be insisted  and promised subsidies for small farmers ,Monthly RS 1500 for household women's,loan waiver to hotels,27%
2004,ALASKA,AK,2,94,81,US PRESIDENT,OTHER,,790,loss,Distribution of solar-powered cooking stoves,decrease of milk price,govt job to ladies,Free washing machine for each house,Decrease of tax,15%
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1104294,win,Education Empowerment,Cancel of education loan,Distribution of solar-powered cooking stoves,Increasing the investment from foreign MNC'S,Tourism development,37%
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,893524,loss,Free laptop,Monthly RS 1500 for household women's,Govt job to ladies ,Cancel of education loan,Free hospitalization,28%
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,11856,loss,Free bicycle,Distribution of solar-powered cooking stoves,Tourism development,Eradication of racisim,Clean US,22%
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,OTHER,,2911,loss,Building concrete houses for people living in huts,Govt job to ladies ,Free hospitalization,Tourism development,Hi-Tech highways,11%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,572898,win,6 LPG cylinders are free for a year,Decrease of tax,Monthly RS 1500 for household women's,Free bicycle,decrease of milk price,27%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,469953,loss,Education Empowerment,Decrease of tax,2 GB data free for college student,Free hospitalization,expandinng the rural employment guarantee scheme to 150 days,34%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",POPULIST,6171,loss,repayment omission for gold loan,6 LPG cylinders are free for a year,decrease of milk price,2 GB data free for college student,Tourism development,34%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,2352,loss,Free laptop,Free hospitalization,Decrease of tax,Free bicycle,Job to Youth 40%,27%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"PEROUTKA, MICHAEL",CONSTITUTION PARTY,2083,loss,Transportation services in rual areas,Hi-Tech highways,Cancel of education loan,Monthly RS 1500 for household women's,improving infrastructure in harbour ports,38%
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"COBB, DAVID",GREEN,1488,loss,Education Empowerment,Free laptop,Monthly RS 1500 for household women's,Decrease of petrol price,Free washing machine for each house,15%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,6745485,win,distribution of solar-powered cooking stoves,Decrease of petrol price,Improvising USn economy to 5 trillion dollars,Free laptop,2 GB data free for college student,29%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,5509826,loss,Hi-Tech highways,Eradication of racisim,Free washing machine for each house,decrease of milk price,Decrease of petrol price,30%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,50165,loss,Free hospitalization,Increase in the quota for womwn in government jobs to 40%,6 LPG cylinders are free for a year,Education Empowerment,Job to Youth 40%,28%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"COBB, DAVID",GREEN,40771,loss,6 LPG cylinders are free for a year,Education Empowerment,Free laptop,Job to Youth 40%,Hi-Tech highways,39%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PELTIER, LEONARD",PEACE & FREEDOM,27607,loss,Decrease of petrol price,Free laptop,Cancel of education loan,distribution of solar-powered cooking stoves,Free bicycle,26%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PEROUTKA, MICHAEL",AMERICAN INDEPENDENT PARTY,26645,loss,Increasing the investment from foreign MNC'S,6 LPG cylinders are free for a year,Distribution of solar-powered cooking stoves,Building concrete houses for people living in huts,Cancel of education loan,19%
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,OTHER,,20854,loss,Decrease of tax,indroducing metro trains in 2nd level cities,Hi-Tech highways,Loan waiver to hotels,Decrease of petrol price,24%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1101255,win,Building concrete houses for people living in huts,decrease of milk price,Free bicycle,2 GB data free for college student,Hi-Tech highways,16%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,1001732,loss,2 GB data free for college student,Free washing machine for each house,Education Empowerment,Eradication of racisim,Govt job to ladies ,37%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",REFORM PARTY,12718,loss,Monthly RS 1500 for household women's,Building concrete houses for people living in huts,Improvising USn economy to 5 trillion dollars,Loan waiver to hotels,Loan waiver to hotels,32%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,7664,loss,Govt job to ladies ,Distribution of solar-powered cooking stoves,Free laptop,Free bicycle,decrease of milk price,18%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"PEROUTKA, MICHAEL",AMERICAN CONSTITUTION PARTY,2562,loss,Cancel of education loan,Decrease of tax,decrease of milk price,Increase in maternity leave period and assistance,Loan waiver to hotels,45%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"COBB, DAVID",GREEN,1591,loss,Free bicycle,2 GB data free for college student,Cancel of education loan,Free washing machine for each house,Job to Youth 40%,32%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"ANDRESS, STANFORD",UNAFFILIATED,804,loss,Free hospitalization,Education Empowerment,Monthly RS 1500 for household women's,Govt job to ladies ,2 GB data free for college student,18%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"AMONDSON, GENE",CONCERNS OF PEOPLE,378,loss,Decrease of tax,Job to Youth 40%,Improvising USn economy to 5 trillion dollars,Monthly RS 1500 for household women's,Free washing machine for each house,37%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"VAN AUKEN, BILL",SOCIALIST EQUALITY PARTY,329,loss,repayment omission for gold loan,Free washing machine for each house,loan waiver to hotels,Distribution of solar-powered cooking stoves,Hi-Tech highways,18%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,241,loss,Monthly RS 1500 for household women's,Cancel of education loan,Increase in maternity leave period and assistance,Eradication of racisim,free education,19%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"BROWN, WALT",SOCIALIST,216,loss,Distribution of solar-powered cooking stoves,2 GB data free for college student,Building concrete houses for people living in huts,Cancel of education loan,Job to Youth 40%,39%
2004,COLORADO,CO,8,84,62,US PRESIDENT,"DODGE, EARL",PROHIBITION,140,loss,Free laptop,Free bicycle,Tourism development,Govt job to ladies ,Cancel of education loan,29%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,857488,win,Reservation in private sector will also be insisted  and promised subsidies for small farmers ,free education,Monthly RS 1500 for household women's,Free washing machine for each house,Distribution of solar-powered cooking stoves,19%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,693826,loss,Eradication of racisim,Increasing the investment from foreign MNC'S,free education,6 LPG cylinders are free for a year,Decrease of petrol price,17%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"NADER, RALPH",PETITIONING CANDIDATE,12969,loss,Free bicycle,Education Empowerment,Monthly RS 1500 for household women's,Tourism development,indroducing metro trains in 2nd level cities,34%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"COBB, DAVID",GREEN,9564,loss,Govt job to ladies ,Job to Youth 40%,Reservation in private sector will also be insisted  and promised subsidies for small farmers ,Increase in maternity leave period and assistance,Hi-Tech highways,8%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,3367,loss,decrease of milk price,2 GB data free for college student,Decrease of tax,Cancel of education loan,expandinng the rural employment guarantee scheme to 150 days,38%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PEROUTKA, MICHAEL",CONCERNED CITIZENS,1543,loss,tourism development,6 LPG cylinders are free for a year,govt job to ladies,Reservation in private sector will also be insisted  and promised subsidies for small farmers ,Decrease of tax,7%
2004,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,12,loss,Building concrete houses for people living in huts,Govt job to ladies ,6 LPG cylinders are free for a year,Free hospitalization,decrease of milk price,18%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,200152,win,2 GB data free for college student,Distribution of solar-powered cooking stoves,Increasing the investment from foreign MNC'S,Free washing machine for each house,Cancel of education loan,27%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,171660,loss,job to youth 40%,Govt job to ladies ,Free bicycle,Cancel of education loan,indroducing metro trains in 2nd level cities,39%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"NADER, RALPH",INDEPENDENT,2153,loss,Tourism development,2 GB data free for college student,Free laptop,Free washing machine for each house,Decrease of tax,19%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,586,loss,Govt job to ladies ,Free laptop,Cancel of education loan,Increase in maternity leave period and assistance,decrease of milk price,18%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"PEROUTKA, MICHAEL",CONSTITUTION PARTY,289,loss,Cancel of education loan,Govt job to ladies ,Monthly RS 1500 for household women's,Free washing machine for each house,expandinng the rural employment guarantee scheme to 150 days,39%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"COBB, DAVID",GREEN,250,loss,Free washing machine for each house,Building concrete houses for people living in huts,Free hospitalization,Free bicycle,Decrease of tax,29%
2004,DELAWARE,DE,10,51,11,US PRESIDENT,"BROWN, WALT",NATURAL LAW,100,loss,Increasing the investment from foreign MNC'S,Free laptop,job to youth 40%,Govt job to ladies ,distribution of solar-powered cooking stoves,30%
2004,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,202970,win,Distribution of solar-powered cooking stoves,Cancel of education loan,expandinng the rural employment guarantee scheme to 150 days,Job to Youth 40%,Govt job to ladies ,10%
